"","Subfamily","Tribe","Genus","Species","Sex","Abundance","SU","Strata","Trap","Date","Month","CMR","Obs","Lep"
"93","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can2","11/07/2016","November","""139""","",""
"94","Charaxinae","Anaeini","Memphis","Memphis_hirta",NA,1,"NF2","Canopy","Can2","11/07/2016","November","","",""
"95","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can3","11/07/2016","November","","",""
"96","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can4","11/07/2016","November","","Voucher","38"
"97","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can5","11/07/2016","November","","",""
"98","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","F",1,"NF3","Understory","Und1","11/07/2016","November","31","",""
"99","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF3","Understory","Und2","11/07/2016","November","32","",""
"100","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF3","Understory","Und4","11/07/2016","November","","Voucher","54"
"101","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_demophoon","F",1,"NF3","Canopy","Can5","11/07/2016","November","","Voucher","32"
"102","Satyrinae","Satyrini","Carminda","Carminda_paeon",NA,1,"NF1","Canopy","Can2","12/09/2016","December","","Voucher","SEM LEP"
"103","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can5","12/09/2016","December","33","",""
"104","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can5","12/09/2016","December","34","",""
"105","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can5","12/09/2016","December","35","",""
"106","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF3","Understory","Und2","12/09/2016","December","36","",""
"107","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF6","Canopy","Can4","12/10/2016","December","","Voucher","217"
"108","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can1","12/11/2016","December","36","",""
"109","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can1","12/11/2016","December","37","",""
"110","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can1","12/11/2016","December","38","",""
"111","Satyrinae","Satyrini","Carminda","Carminda_paeon",NA,1,"NF1","Canopy","Can2","12/11/2016","December","","Scape",""
"112","Satyrinae","Satyrini","Carminda","Carminda_paeon",NA,1,"NF1","Canopy","Can4","12/11/2016","December","","Scape",""
"113","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can4","12/11/2016","December","39","",""
"114","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can5","12/11/2016","December","40","",""
"115","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can5","12/11/2016","December","41","",""
"116","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can5","12/11/2016","December","","Voucher","210"
"117","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF2","Canopy","Can4","12/11/2016","December","42","",""
"118","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF2","Canopy","Can4","12/11/2016","December","","Voucher","249"
"119","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF3","Understory","Und1","12/11/2016","December","","Voucher","248"
"120","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF3","Canopy","Can5","12/11/2016","December","","Dead",""
"121","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Understory","Und1","12/12/2016","December","","",""
"122","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can1","12/12/2016","December","","",""
"123","Satyrinae","Satyrini","Hermeuptychia","Hermeuptychia_sp",NA,1,"NF6","Canopy","Can1","12/12/2016","December","","Voucher","251"
"124","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF6","Understory","Und2","12/12/2016","December","44","",""
"125","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can3","12/12/2016","December","45","",""
"126","Satyrinae","Satyrini","Praepedaliodes","Praepedaliodes_phanias","F",1,"NF6","Canopy","Can4","12/12/2016","December","","Voucher","199"
"127","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF6","Canopy","Can4","12/12/2016","December","46","",""
"128","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can4","12/12/2016","December","","Dead",""
"129","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can4","12/12/2016","December","","Voucher","219"
"130","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can4","12/12/2016","December","","Dead",""
"131","Satyrinae","Brassolini","Eryphanis","Eryphanis_reevesii","F",1,"NF6","Understory","Und5","12/12/2016","December","","Voucher","164"
"132","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can5","12/12/2016","December","47","",""
"133","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF6","Canopy","Can5","12/12/2016","December","48","",""
"134","Satyrinae","Satyrini","Euptychoides","Euptychoides_castrensis","F",1,"NF6","Canopy","Can5","12/12/2016","December","","Voucher","253"
"135","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF6","Canopy","Can5","12/12/2016","December","","Voucher","247"
"136","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Understory","Und1","12/12/2016","December","49","",""
