Subfamily;Tribe;Genus;Species;Sex;Abundance;SU;Strata;Trap;Date;Month;CMR;Obs;Lep
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/14/16;December;75;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;12/14/16;December;76;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/14/16;December;77;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;12/14/16;December;78;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;12/14/16;December;79;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can5;12/14/16;December;80;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can1;12/14/16;December;;Voucher;246
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can1;12/14/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can2;12/14/16;December;81;;
Charaxinae;Anaeini;Memphis;Memphis_moruus;M;1;NF5;Canopy;Can3;12/14/16;December;;Voucher;198
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF5;Understory;Und3;12/14/16;December;;Voucher;SEM LEP
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can3;12/14/16;December;82;;
Satyrinae;Satyrini;Euptychoides;Euptychoides_castrensis;NA;1;NF4;Canopy;Can1;12/14/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can1;12/15/16;December;83;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/15/16;December;84;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/15/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und3;12/15/16;December;85;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/15/16;December;86;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can3;12/15/16;December;87;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can3;12/15/16;December;88;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/15/16;December;89;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/15/16;December;90;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/15/16;December;91;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/15/16;December;92;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;M;1;NF2;Understory;Und4;12/15/16;December;93;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;94;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can5;12/15/16;December;95;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;96;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;97;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und1;12/15/16;December;98;;
